,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
1060,"3 BHK Flat in Sector 92, Gurgaon","3 BHK Flat in Sector 92, Gurgaon",₹1.24 Cr,"₹10,490 /sqft",3.0,2.0,3 BHK,1182.0,"1,182 sqft",Super Built-up,4 floor,East,Ready To Move,,3.0,,,"This 3 bhk apartment is available for sale in sare homes, one of the most prominent projects for flats in sector 92 gurgaon. This property faces the east direction. Constructed on a super built up area of 1182 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the ground floor of a 4 floors tall building. As the project is already ready to move, so ...",Sare Homes,Sare Homes,East Facing Ground Floor,Flat
1061,"2 BHK Flat in Sector 68, Gurgaon","2 BHK Flat in Sector 68, Gurgaon",₹1.59 Cr,"₹12,771 /sqft",2.0,2.0,2 BHK,1245.0,"1,245 sqft",Super Built-up,10th floor,East,Ready To Move,,2.0,,,"This is a east-Facing property. The flat occupies a super built up area of 1245 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 10th floor of this 35 floors tall residential building. This 0-1 year old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using wood flooring, g...",Pareena Mi Casa,Pareena Mi Casa,East Facing Newly Constructed,Flat
1062,"2 BHK Flat in Sector 68, Gurgaon","2 BHK Flat in Sector 68, Gurgaon",₹1.09 Cr,"₹12,601 /sqft",2.0,2.0,2 BHK,865.0,865 sqft,Super Built-up,,,Ready To Move,,2.0,,,"The flat is west-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 865 sq.Ft. This flat lies on the 6th level of a 35 storey building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The wood flooring of this flat is beautifully designed and helps to give it a pleasing look. Pareena m...",Pareena Mi Casa,Pareena Mi Casa,Newly Constructed Gated Society,Flat
1063,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.65 Cr,"₹14,028 /sqft",3.0,3.0,3 BHK,1889.0,"1,889 sqft",Super Built-up,24 floor,East,Ready To Move,,3.0,,,"Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in adani m2k oyster grande that is situated in sector 102 gurgaon. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1889 sq.Ft. The flat has a total of 24 floors and this property is situated on 5th floo...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,East Facing DPS SCHOOL Nearby,Flat
1064,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹2.35 Cr,"₹14,892 /sqft",3.0,3.0,3 BHK,1578.0,"1,578 sqft",Super Built-up,2nd floor,North-East,Ready To Move,,2.0,,,"Tulip violet is one of the most popular destination for buying apartments/ flats in sector 69 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is facing the north-East direction. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1578 sq.Ft. This flat is situated on the 2nd floor of this 14 floors ta...",Tulip Violet,Tulip Violet,North-East Facing Recently Renovated,Flat
1065,"4 BHK Flat in Sector 90, Gurgaon","4 BHK Flat in Sector 90, Gurgaon",₹2.84 Cr,"₹10,414 /sqft",4.0,4.0,4 BHK,2727.0,"2,727 sqft",Super Built-up,19 floor,,Ready To Move,,3.0,,,"Contact-991-050-1693 for more details and visit purpose. This lovely 4 bhk apartment/flat in sector 90 gurgaon is available for sale in one of gurgaon's most popular projects, dlf new town heights 1. The flat is over 2727 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and more than 3 balconies. The flat has a total of 19 floors and this property is situated on 16th floor. T...",DLF New Town Heights 1,DLF New Town Heights 1,,Flat
1066,"3 BHK Flat in Sector 62, Gurgaon","3 BHK Flat in Sector 62, Gurgaon",₹7 Cr,"₹27,027 /sqft",3.0,3.0,3 BHK,2590.0,"2,590 sqft",Super Built-up,,North-East,Ready To Move,,2.0,,"Garden, Piped Gas","I want to rent out a 3 bhk apartment available in pioneer urban presidia,sector 62 gurgaon, gurgaon.Located in a serene place, it has a super built-Up area of 2590 sq.Ft. It is an attractive and a newly constructed property. The property has an amazing location and is furnished.It has 2 balcony(s) which offer an excellent view. Additional details : Piped gas facility is available in the propert...",Pioneer Urban Presidia,Pioneer Urban Presidia,North-East Facing Private Garden,Flat
1067,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹1.73 Cr,"₹8,410 /sqft",4.0,4.0,4 BHK,2057.0,"2,057 sqft",Super Built-up,,,Ready To Move,,,,,Very premium flats in a specious and luxury society,Sare Homes(Rising Home),Sare Homes(Rising Home),Gated Society Corner Property,Flat
1068,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹1.68 Cr,"₹8,038 /sqft",4.0,4.0,4 BHK,2090.0,"2,090 sqft",Super Built-up,,,Ready To Move,,,,,Aesthetically very nice and premium flat in a specious and luxury society.,Sare Homes,Sare Homes,,Flat
1069,"3 BHK Flat in Sector 49, Gurgaon","3 BHK Flat in Sector 49, Gurgaon",₹2.9 Cr,"₹16,348 /sqft",3.0,2.0,3 BHK,1773.0,"1,773 sqft",Super Built-up,7 floor,North-East,Ready To Move,,2.0,,,"This 3 bhk flat is located in vatika city, which houses some of the most spacious flats in sector 49 gurgaon. This residential flat is north-East-Facing direction. The flat is over 1774 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 7 floors in total and the flat for sale is located on the 5th floor. This is a ready to move proj...",Vatika City,Vatika City,North-East Facing Gated Society,Flat
1070,"2 BHK Flat in Sector 76, Gurgaon","2 BHK Flat in Sector 76, Gurgaon",₹93 Lac,"₹14,644 /sqft",2.0,2.0,2 BHK,635.0,635 sqft,Carpet,1st floor,,Ready To Move,,1.0,,,"This 2 bhk flat is located in suncity avenue 76, which houses some of the most spacious flats in sector 76 gurgaon. The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 59 sq.M. This flat is situated on the 1st floor of this 14 floors tall residential building. As the project is already ready to move, so you can easily move into ...",Suncity Avenue 76,Suncity Avenue 76,,Flat
1071,"3 BHK Flat in Sector-33 Sohna, Gurgaon","3 BHK Flat in Sector-33 Sohna, Gurgaon",₹2.8 Cr,"₹13,120 /sqft",3.0,3.0,3 BHK,2134.0,"2,134 sqft",Built-up,,North,Ready To Move,,,Servant Room,,"Premium 3bhk + servant apartment available for sale in the ultra-Luxury project central park aqua front tower, located in sector 33, sohna, gurgaon. Area: 2134 sq. Ft. Configuration: 3 bedrooms + servant room | spacious living & dining | balconies Price: 2.80 cr Project: Central park aqua front tower Status: Luxury residence Key highlights: Premium aqua front living with resort-Style environmen...",Central Park Flower Valley Aqua Front Towers,Central Park Flower Valley Aqua Front Towers,North Facing Gated Society,Flat
1072,"3 BHK Flat in Sector 71, Gurgaon","3 BHK Flat in Sector 71, Gurgaon",₹1.8 Cr,"₹12,121 /sqft",3.0,3.0,3 BHK,1485.0,"1,485 sqft",Super Built-up,,,Ready To Move,,2.0,,,"Chd avenue 71 is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 71 gurgaon is your opportunity to be a part of this community. The flat is facing the north direction. The flat is over 1485 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 9th level of a 14 storey building. This is a ready to mo...",CHD Avenue 71,CHD Avenue 71,,Flat
1073,"4 BHK Flat in Sector 81, Gurgaon","4 BHK Flat in Sector 81, Gurgaon",₹4.85 Cr,"₹16,655 /sqft",4.0,4.0,4 BHK,2912.0,"2,912 sqft",Super Built-up,29 floor,North-East,Ready To Move,,3.0,,Garden,"This beautiful 4 bhk flat in sector 81 gurgaon is situated in dlf the ultima, one of the popular residential society in gurgaon. This property faces the north-East direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2912 sq.Ft. The residential building has 29 floors in total and the flat for sale is located on the 11th flo...",DLF The Ultima,DLF The Ultima,North-East Facing Private Garden,Flat
1074,"3 BHK Flat in Sector 37D, Gurgaon","3 BHK Flat in Sector 37D, Gurgaon",₹2.25 Cr,"₹12,424 /sqft",3.0,3.0,3 BHK,1811.0,"1,811 sqft",Super Built-up,,,Ready To Move,,,,,"Luxurious 3 bhk apartment for sale in bptp terra, sector 37d, gurgaon Presenting a beautifully planned 3 bhk apartment in bptp terra, one of the most sought-After residential projects in sector 37d, gurgaon. Designed for modern urban living, this apartment offers the perfect blend of comfort, space, connectivity, and lifestyle amenities, making it an ideal choice for families and investors alik...",BPTP Terra,BPTP Terra,,Flat
1075,"4 BHK Flat in Sector 82, Gurgaon","4 BHK Flat in Sector 82, Gurgaon",₹4 Cr,"₹12,028 /sqft",4.0,6.0,4 BHK,3500.0,"3,500 sqft",Super Built-up,,,Ready To Move,,4.0,,,"Residential apartment This is your chance to a 4 bhk apartment / flat for sale in mapsko royale ville sector 82 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedroom apartment with 6 bathrooms, modular kitchen, spacious hall and 4 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample na...",Mapsko Royale Ville,Mapsko Royale Ville,Gated Society,Flat
1076,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹2.25 Cr,"₹13,204 /sqft",3.0,3.0,3 BHK,1704.0,"1,704 sqft",Super Built-up,,,Ready To Move,,,,,Ready to move 3bhk apartment sector 69 near tulip chowk,Tulip Yellow,Tulip Yellow,,Flat
1077,"3 BHK Flat in Sector 37C, Gurgaon","3 BHK Flat in Sector 37C, Gurgaon",₹1.55 Cr,"₹8,266 /sqft",3.0,3.0,3 BHK,1875.0,"1,875 sqft",Super Built-up,18 floor,North-East,Ready To Move,,3.0,,,"Ild greens is one of the most popular destination for buying apartments/ flats in sector 37c gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This property faces the north-East direction. The flat occupies a super built up area of 1875 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 18 floors in total and the flat f...",ILD Greens,ILD Greens,North-East Facing Gated Society,Flat
1078,"2 BHK Flat in Sector 93, Gurgaon","2 BHK Flat in Sector 93, Gurgaon",₹69 Lac,"₹11,367 /sqft",2.0,2.0,2 BHK,647.0,647 sqft,Super Built-up,14 floor,North-East,Ready To Move,,3.0,,,"The flat is facing the north-East direction. The flat occupies a super built up area of 647 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The flat has a total of 14 floors and this property is situated on 9th floor. This is a ready to move project and the property is 0-1 year old. The well built marble flooring enhances the aesthetic appeal of this flat. This flat is located ...",MRG The Balcony,MRG The Balcony,"North-East Facing RPS, GAV, Sidheshwar SCHOOL Nearby",Flat
1079,"3 BHK Flat in Sector 67A, Gurgaon","3 BHK Flat in Sector 67A, Gurgaon",₹2.85 Cr,"₹16,502 /sqft",3.0,3.0,3 BHK,1727.0,"1,727 sqft",Super Built-up,14 floor,North-East,Ready To Move,,2.0,,Garden,"This residential flat is north-East-Facing direction. The flat is over 1727 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. The residential building has 14 floors in total and the flat for sale is located on the 7th floor. This is a ready to move project and the property is 1-5 years old. The flat comes well built with marble flooring options. The society is...",Ireo The Corridors,Ireo The Corridors,North-East Facing Private Garden,Flat
1080,"3 BHK Flat in Sector 83, Gurgaon","3 BHK Flat in Sector 83, Gurgaon",₹2.36 Cr,"₹12,102 /sqft",3.0,4.0,3 BHK,1950.0,"1,950 sqft",Super Built-up,,East,Ready To Move,,,,Garden,"987333 1272, palm gardens - Emaar presents a new residential project emaar palm gardens located at sector 83 gurgaon. Emaar palm gardens gurgaon offers 3 bhk apartments with modernized features like ac & modular kitchen, total privacy, garden facing, colourful & continuous landscaping, efficient use of space and much more. Emaar palm gardens gurgaon is surrounded by a wide range of lifestyle fa...",Emaar Palm Gardens,Emaar Palm Gardens,East Facing MAtrikiran within 250m,Flat
1081,"3 BHK Flat in Sector 92, Gurgaon","3 BHK Flat in Sector 92, Gurgaon",₹1.27 Cr,"₹10,160 /sqft",3.0,2.0,3 BHK,1250.0,"1,250 sqft",Super Built-up,23 floor,West,Ready To Move,,2.0,,,"This is a north-West-Facing property. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1250 sq.Ft. The flat has a total of 23 floors and this property is situated on 14th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready ...",Sare Crescent Parc,Sare Crescent Parc,Gated Society Corner Property,Flat
