,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
10,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹10 Cr,"₹41,152 /sqft",5,6,5 BHK,2430,"2,430 sqft",,,North-East,RESALE,Semi Furnished,,,Garden,"Spacious rooms, there are available 5 bedrooms, semi furnished villa, basement and terrace is extra.",International City by Sobha Phase 1,International City by Sobha Phase 1,North-East Facing Private Garden,House
11,Independent House,"6 Bedroom House in Palam Vihar, Gurgaon","6 Bedroom House in Palam Vihar, Gurgaon",₹4.75 Cr,"₹30,507 /sqft",6,6,6 BHK,1557,"1,557 sqft",,,North-East,RESALE,,,,,173 sq yard house available for sale in palam vihar gurgaon. Please contact us for more details and site visit.,"Palam Vihar, Gurgaon","Palam Vihar, Gurgaon",North-East Facing DPSG school within 3km,House
12,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹11.25 Cr,"₹37,879 /sqft",4,4,4 BHK,2970,"2,970 sqft",Covered,,,RESALE,,2.0,,"Garden, Park","Wishing to settle down in an individual house with your family? This well-Built and spacious 4 bhk house for sale in sector 48 gurgaon seems to be an ideal choice for a peaceful abode for a family. The house has over super built up area of 330 sq.Yards and comes with 4 bedrooms, 4 bathrooms and 2 balconies. Your vehicle(s) can be easily parked as this house comes with 1 covered and 2 open parki...",Vipul Tatvam Villa,Vipul Tatvam Villa,Private Garden Gated Society,House
13,Independent House,"5 Bedroom House in Suncity, Gurgaon","5 Bedroom House in Suncity, Gurgaon",₹15.5 Cr,"₹47,839 /sqft",5,6,5 BHK,3240,"3,240 sqft",,,,RESALE,,,,Garden,,"Suncity, Gurgaon","Suncity, Gurgaon",Private Garden Gated Society,House
14,Independent House,"5 Bedroom House in Block M South City 1, Gurgaon","5 Bedroom House in Block M South City 1, Gurgaon",₹12 Cr,"₹37,037 /sqft",5,6,5 BHK,3240,"3,240 sqft",,,South,RESALE,,2.0,,,"Do you wish to buy an independent house in block m south city 1, gurgaon. This 5 bhk house looks like an ideal choice for somebody looking for peace of mind. Owing to its key locations, several landmarks like close to metro station and close to market are easily accessible. Constructed on a super built up area of 360 sq.Yards, this house comprises 5 bedrooms, 6 bathrooms and 2 balconies. The ow...","Block M South City 1, Gurgaon","Block M South City 1, Gurgaon",,House
15,Independent House,"3 Bedroom House in Sector 7, Gurgaon","3 Bedroom House in Sector 7, Gurgaon",₹4.7 Cr,"₹20,889 /sqft",3,3,3 BHK,2250,"2,250 sqft",,,,RESALE,,,,"Parking, Park",Old constructed house available for sale in sector 7 It is a single storey 3 bhk house of 250 sq yards Top notch location of sector 7 Nearby park and close to main market Ample parking space All basic amenities are available nearby,"Sector 7, Gurgaon","Sector 7, Gurgaon",Gated Society Overlooking Main Road,House
16,Independent House,"5 Bedroom House in Sector 33, Gurgaon","5 Bedroom House in Sector 33, Gurgaon",₹15 Cr,"₹33,200 /sqft",5,5,5 BHK,4518,"4,518 sqft",Covered,,,RESALE,,3.0,,"Parking, Park","Planning to buy an individual house in gurgaon. Then you should definitely check out this 5 bhk house for sale in sector 33 gurgaon, a well-Planned and well-Connected locality in gurgaon. The house has over super built up area of 502 sq.Yards and comes with 5 bedrooms, 5 bathrooms and more than 3 balconies. The houses comes with dedicated 3 covered and 2 open parking space(s) where you can easi...",Unitech Uniworld Resorts,Unitech Uniworld Resorts,,House
17,Independent House,"3 Bedroom House in Sector 4, Gurgaon","3 Bedroom House in Sector 4, Gurgaon",₹4.35 Cr,"₹19,333 /sqft",3,2,3 BHK,2250,"2,250 sqft",,,North-East,RESALE,,,,Garden,It's 2 story constructed built up house Very well maintained located in a gated premises Having a garden on back side of the house,"Sector 4, Gurgaon","Sector 4, Gurgaon",North-East Facing Gated Society,House
18,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹18 Cr,"₹40,000 /sqft",4,5,4 BHK,4500,"4,500 sqft",,,East,RESALE,,,,Garden,"Tatvam villas is one of the most luxurious resort-Based villas community of gurgaon and delhi ncr, executed to a resort standard of design, landscaping & construction. Spread over 50 acres of land bank and developed in well-Planned spacious phases x, y, and z, this secured gated villas community is located on 110 meeter gurgaon-Sohna-Alwar road, just 25 minutes from indira gandhi international ...",Vipul Tatvam Villa,Vipul Tatvam Villa,East Facing Private Garden,House
19,Independent House,"4 Bedroom House in Nirvana Country, Gurgaon","4 Bedroom House in Nirvana Country, Gurgaon",₹15.9 Cr,"₹49,211 /sqft",4,4,4 BHK,3231,"3,231 sqft",,,,RESALE,,,,Park,"Broker's please excuse.... Available park pacing villa for sale in one of the top notch location of nirvana country, for details kindly contact",Unitech Aspen Greens,Unitech Aspen Greens,,House
20,Independent House,"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon","11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",₹3.5 Cr,"₹63,752 /sqft",11,11,11 BHK,549,549 sqft,,,North-East,RESALE,,,,,,"Block C, Sushant Lok Phase 1, Gurgaon","Block C, Sushant Lok Phase 1, Gurgaon",North-East Facing Huda City within 1km,House
21,Independent House,"4 Bedroom House in Sector 72, Gurgaon","4 Bedroom House in Sector 72, Gurgaon",₹6.25 Cr,"₹18,939 /sqft",4,4,4 BHK,3300,"3,300 sqft",Covered,,,RESALE,,3.0,,"Parking, Park","Do you wish to buy an independent house in sector 72 gurgaon. This 4 bhk house looks like an ideal choice for somebody looking for peace of mind. Constructed on a super built up area of 3300 sq.Ft., this house comprises 4 bedrooms, 4 bathrooms and more than 3 balconies. The houses comes with dedicated 2 covered and 2 open parking space(s) where you can easily park your vehicle(s). As the proper...",Tata Primanti,Tata Primanti,Rain Water Harvesting,House
22,Independent House,"5 Bedroom House in Sector 10A, Gurgaon","5 Bedroom House in Sector 10A, Gurgaon",₹2.85 Cr,"₹31,666 /sqft",5,4,5 BHK,900,900 sqft,,,North,RESALE,,,,Park,"An independent house in sector 10a is available for sale, offering a perfect blend of comfort, convenience, and prime location. The property features spacious rooms, ample natural light, and a well-Planned layout ideal for families seeking a peaceful yet well-Connected neighborhood. Located close to schools, markets, parks, and major roadways, this home ensures easy access to all essential amen...",builder floor,builder floor,North Facing Gated Society,House
23,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹9.5 Cr,"₹17,593 /sqft",4,5,4 BHK,5400,"5,400 sqft",,,,RESALE,,,,,"Sobha international city in sector 109 is one of gurgaons most talked-About villa townships, developed by sobha limited with a strong reputation for premium construction and luxury living. The 600 sq yd 4 bhk duplex configuration offers spacious layouts, generous interiors, and high-End finishesideal for families seeking a villa-Style home rather than an apartment",Sobha International City Phase 3,Sobha International City Phase 3,Conscient One within 1km IGI Airport Nearby,House
24,Independent House,"4 Bedroom House in Sector 84, Gurgaon","4 Bedroom House in Sector 84, Gurgaon",₹2.92 Cr,"₹10,814 /sqft",4,4,4 BHK,2700,"2,700 sqft",,,North-East,RESALE,,3.0,,,"On the lookout for a spacious house in gurgaon? Go for this 4 bhk house for sale in sector 84 gurgaon, a well-Connected locality within gurgaon. The property's proximity to landmarks like close to airport, close to highway, close to school and close to mall makes it ideal property for families. Containing 4 bedrooms, 4 bathrooms and more than 3 balconies, this independent house is spread over a...",SS Linden Floors,SS Linden Floors,North-East Facing SIDHESWAR SCHOOL within 250m,House
25,Independent House,"4 Bedroom House in Sector 60, Gurgaon","4 Bedroom House in Sector 60, Gurgaon",₹6.2 Cr,"₹16,402 /sqft",4,5,4 BHK,3780,"3,780 sqft",,,East,RESALE,,,,Garden,Available for sale 4bhk plus servant plus big basement in adani samsara sec-63,Adani Brahma Samsara,Adani Brahma Samsara,East Facing Private Garden,House
26,Independent House,"5 Bedroom House in Sector 48, Gurgaon","5 Bedroom House in Sector 48, Gurgaon",₹23.5 Cr,"₹34,722 /sqft",5,7,5 BHK,6768,"6,768 sqft",,,North-East,RESALE,,3.0,,Garden,"Do you wish to buy an independent house in sector 48 gurgaon. This 5 bhk house looks like an ideal choice for somebody looking for peace of mind. Another plus point for the house is that it is situated near close to school, close to hospital, close to market and close to highway. Constructed on a super built up area of 752 sq.Yards, this house comprises 5 bedrooms, 7 bathrooms and 3 balconies. ...",Vipul Tatvam Villa,Vipul Tatvam Villa,North-East Facing Private Garden,House
27,Independent House,"4 Bedroom House in Sector 4, Gurgaon","4 Bedroom House in Sector 4, Gurgaon",₹3.5 Cr,"₹24,306 /sqft",4,4,4 BHK,1440,"1,440 sqft",Built-up,,,RESALE,,,,,"Prime 160 sq. Yards | 2-Storey independent house | top-Notch location A great opportunity to own an old but well-Maintained independent house built on a 160 sq. Yards plot, situated in a top-Notch residential location within a gated block offering a safe and peaceful living environment. Key features: 160 sq. Yards plot area 2-Storey built-Up structure 2 bhk on each floor Old construction but we...","Sector 4, Gurgaon","Sector 4, Gurgaon",,House
28,Independent House,"13 Bedroom House in DLF Phase 2, Gurgaon","13 Bedroom House in DLF Phase 2, Gurgaon",₹10 Cr,"₹51,680 /sqft",13,14,13 BHK,1935,"1,935 sqft",Covered,,,RESALE,,3.0,,"Parking, Park","Are you planning to buy your dream home? You can consider this well-Built 13 bhk house for sale in dlf phase 2, gurgaon and make it your new address. Containing 13 bedrooms, 14 bathrooms and more than 3 balconies, this independent house is spread over a super built up area of 215 sq.Yards. Your vehicle(s) can be easily parked as this house comes with 2 covered and 1 open parking. This is a read...",M block,M block,Stone Flooring Gated Society,House
29,Independent House,"2 Bedroom House in Rajendra Park, Gurgaon","2 Bedroom House in Rajendra Park, Gurgaon",₹80 Lac,"₹13,675 /sqft",2,1,2 BHK,585,585 sqft,,,,RESALE,Unfurnished,,,Park,"This 2 bhk independent house in rajendra park, gurgaon offers 585 sq.Ft. Of unfurnished living space with 2 bedrooms and 1 bathroom. Located near palam vihar vyapar kendra and key amenities like r k hospital, it is a 5-10 year old property available for immediate sale, ideal for those seeking a ready-To-Move home.","Rajendra Park, Gurgaon","Rajendra Park, Gurgaon",,House
30,Independent House,"12 Bedroom House in Uppals Southend, Gurgaon","12 Bedroom House in Uppals Southend, Gurgaon",₹24 Cr,"₹48,000 /sqft",12,14,12 BHK,5000,"5,000 sqft",Covered,,North,RESALE,,3.0,,"Parking, Garden, Park","Are you planning to buy your dream home? You can consider this well-Built 12 bhk house for sale in uppals southend, gurgaon and make it your new address. The floor plan additionally contains 12 bedrooms, 14 bathrooms and 3 balconies. All in all, the independent house is spread over a super built up area of 5000 sq.Ft. There are 12 covered & 3 open parking available with this house. Being a read...",Uppal Southend,Uppal Southend,North Facing Private Garden,House
31,Independent House,"4 Bedroom House in Sector 4, Gurgaon","4 Bedroom House in Sector 4, Gurgaon",₹4.4 Cr,"₹19,556 /sqft",4,3,4 BHK,2250,"2,250 sqft",,,,RESALE,,,,Park,1.5 storey north east facing property available for sale Top notch location of sector 4 Gated pocket Well maintained house All wooden work has been done Airy and spacious room design Top notch location A steal deal Nearby park Close to market Walking distance from main market,"Sector 4, Gurgaon","Sector 4, Gurgaon",,House
32,Independent House,"4 Bedroom House in Tikri, Gurgaon","4 Bedroom House in Tikri, Gurgaon",₹11.25 Cr,"₹34,722 /sqft",4,4,4 BHK,3240,"3,240 sqft",,,North,RESALE,,,,"Swimming Pool, Gym, Garden, Security","Tatvam villas, gurgaon is a premium residential community located in sector 48, along sohna road. Developed by vipul limited, it offers spacious, independently designed luxury villas spread across a lush, green landscape. The project features modern architecture, private gardens, and world-Class amenities such as a clubhouse, swimming pool, gym, spa, walking trails, and 24/7 security. Known for...",Vipul Tatvam Villa,Vipul Tatvam Villa,North Facing Private Garden,House
33,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹12.5 Cr,"₹38,580 /sqft",4,4,4 BHK,3240,"3,240 sqft",,,East,RESALE,,,,Garden,"Tatvam villas is one of the most luxurious resort-Based villas community of gurgaon and delhi ncr, executed to a resort standard of design, landscaping & construction. Spread over 50 acres of land bank and developed in well-Planned spacious phases x, y, and z, this secured gated villas community is located on 110 meeter gurgaon-Sohna-Alwar road, just 25 minutes from indira gandhi international ...",Vipul Tatvam Villa,Vipul Tatvam Villa,East Facing Private Garden,House
34,Independent House,"4 Bedroom House in Sector 72, Gurgaon","4 Bedroom House in Sector 72, Gurgaon",₹15.5 Cr,"₹18,235 /sqft",4,4,4 BHK,8500,"8,500 sqft",Covered,,North-East,RESALE,,3.0,,"Parking, Garden, Park","Check out this 4 bhk house for sale in sector 72 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. Containing 4 bedrooms, 4 bathrooms and more than 3 balconies, this independent house is spread over a super built up area of 8500 sq.Ft. The houses comes with dedicated 4 covered and 2 open parking space(s) where you can easily park your vehicle(s)....",Tata Primanti,Tata Primanti,North-East Facing Private Garden,House
35,Independent House,"5 Bedroom House in Sector 33, Gurgaon","5 Bedroom House in Sector 33, Gurgaon",₹13 Cr,"₹28,774 /sqft",5,5,5 BHK,4518,"4,518 sqft",Covered,,,RESALE,,3.0,,"Parking, Garden, Park","Looking to buy an independent house in gurgaon? Do check out this 5 bhk house in sector 33 gurgaon, which is an ideal choice for a family. Constructed on a super built up area of 502 sq.Yards, this house comprises 5 bedrooms, 5 bathrooms and more than 3 balconies. The owner of the house also gets 3 covered and 2 open parking slot(s) to park their car safely. Being a ready to move house, you can...",Unitech Uniworld Resorts,Unitech Uniworld Resorts,Private Garden Recently Renovated,House
36,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹11 Cr,"₹34,140 /sqft",4,5,4 BHK,3222,"3,222 sqft",,,,RESALE,,,,,"Tatvam villas is one of the most luxurious resort-Based villas community of gurgaon and delhi ncr, executed to a resort standard of design, landscaping & construction. Spread over 50 acres of land bank and developed in well-Planned spacious phases x, y, and z, this secured gated villas community is located on 110 meeter gurgaon-Sohna-Alwar road, just 25 minutes from indira gandhi international ...",Vipul Tatvam Villa,Vipul Tatvam Villa,,House
37,Independent House,"4 Bedroom House in Nirvana Country, Gurgaon","4 Bedroom House in Nirvana Country, Gurgaon",₹18 Cr,"₹55,556 /sqft",4,4,4 BHK,3240,"3,240 sqft",,,,RESALE,,,,"Garden, Park","Park-Facing, owner-Occupied 360 sq yards villa in espace impeccably maintained. This ready-To-Move-In home comes with brand-New air conditioners and enjoys abundant sunlight in the front lawn and a lush garden in the backyard. Winers in this home are toasty and summers a cool refuge amongst green bowl of nirvana. Conveniently located with easy access to main roads and highways, it is also close...",Unitech Espace,Unitech Espace,Private Garden Rain Water Harvesting,House
38,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹8.2 Cr,"₹15,185 /sqft",4,4,4 BHK,5400,"5,400 sqft",,,,RESALE,,,,"Swimming Pool, Gym","Sobha international city | ready to move 4bhk+sr 600 sq.Yd lower duplex | phase 2 Sobha international city in sector 109, gurgaon Spread over an area of 41 acres Amenities Swimming pool | lawn tennis | basketball court | billiards | gym | clubhouse Location 0 km from delhi 2 mins from dwarka expressway 20 mins from igi airport 10 mins yashobhoomi metro Nearby Conscient one & neo square mall Eur...",International City by SOBHA Phase 2,International City by SOBHA Phase 2,,House
39,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹9 Cr,"₹16,667 /sqft",4,4,4 BHK,5400,"5,400 sqft",,,North,RESALE,,,,"Swimming Pool, Gym","Sobha international city | ready to move 4bhk+sr 600 sq.Yd upper duplex Sobha international city phase 2 sector 109, gurgaon Spread over an area of 41 acres Amenities Swimming pool | lawn tennis | basketball court | billiards | gym | clubhouse Location 0 km from delhi 2 mins from dwarka expressway 20 mins from igi airport 10 mins yashobhoomi metro Nearby Conscient one & neo square mall Euro int...",International City by SOBHA Phase 2,International City by SOBHA Phase 2,North Facing Recently Renovated,House
40,Independent House,"4 Bedroom House in Sector 48, Gurgaon","4 Bedroom House in Sector 48, Gurgaon",₹17 Cr,"₹37,778 /sqft",4,5,4 BHK,4500,"4,500 sqft",,,,RESALE,,,,Garden,"Are you planning to buy your dream home? You can consider this well-Built 4 bhk house for sale in sector 48 gurgaon and make it your new address. The property's proximity to landmarks like close to metro station, close to hospital, close to school and close to market makes it ideal property for families. Constructed on a super built up area of 500 sq.Yards, this house comprises 4 bedrooms, 5 ba...",Vipul Tatvam Villa,Vipul Tatvam Villa,Private Garden Huda City centre within 2.5km,House
41,Independent House,"8 Bedroom House in Sector 56, Gurgaon","8 Bedroom House in Sector 56, Gurgaon",₹13.5 Cr,"₹50,000 /sqft",8,9,8 BHK,2700,"2,700 sqft",,,,RESALE,Fully Furnished,,"Servant Room, Pooja Room","Garden, Park","A will maintained and fully furnished 8bhk kothi available for sale in sector 56 With total no. Of 8 bedrooms, modular kitchen and wardrobes with servant room and pooja room. Total plot size: 300 sqyds.","Sector 56, Gurgaon","Sector 56, Gurgaon",Private Garden Overlooking Park,House
42,Independent House,"4 Bedroom House in Sector 33, Gurgaon","4 Bedroom House in Sector 33, Gurgaon",₹13 Cr,"₹19,230 /sqft",4,4,4 BHK,6760,"6,760 sqft",Built-up,,East,RESALE,,,,"Power Backup, Garden",Available 4 bhk + sq duplex villa for sale in a block of uniworld resorts. This is 502 sqyd villa with full basement. Gated township with 100% power backup. Beautiful layout with peaceful location of the villa.,Unitech Uniworld Resorts,Unitech Uniworld Resorts,East Facing Private Garden,House
43,Independent House,"5 Bedroom House in Sector 66, Gurgaon","5 Bedroom House in Sector 66, Gurgaon",₹18 Cr,"₹57,143 /sqft",5,6,5 BHK,3150,"3,150 sqft",Covered,,North,RESALE,,3.0,,"Parking, Garden, Park","Are you planning to buy your dream home? You can consider this well-Built 5 bhk house for sale in sector 66 gurgaon and make it your new address. Containing 5 bedrooms, 6 bathrooms and more than 3 balconies, this independent house is spread over a super built up area of 350 sq.Yards. The houses comes with dedicated 3 covered and 2 open parking space(s) where you can easily park your vehicle(s)....",Emaar MGF Marbella,Emaar MGF Marbella,North Facing Private Garden,House
44,Independent House,"6 Bedroom House in Palam Vihar, Gurgaon","6 Bedroom House in Palam Vihar, Gurgaon",₹12.5 Cr,"₹3,086 /sqft",6,4,6 BHK,4032,"4,032 sqft",,,,RESALE,,,,"Garden, Park","One of the most beautiful villa of palam vihar combining classical architecture with modern interior on sale in j block. Its situated in j block, full front park facing, north direction and corner plot surrounded by beautiful trees and garden. Exquisite woodwork of assam teak on doors and windows and pu and veneer finish for all wardrobes and modular kitchen. Luxury italian flooring on common a...","Palam Vihar, Gurgaon","Palam Vihar, Gurgaon",Marble Flooring Corner Property,House
45,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹9.5 Cr,"₹39,095 /sqft",5,6,5 BHK,2430,"2,430 sqft",,,East,RESALE,,,Utility Room,"Garden, Security","A 270 sq yd villa here is likely a spacious 5-Bedroom independent house, often with multiple floors, balconies, and possibly servant/utility room or extra rooms. You enjoy large living spaces, private lawns or garden/terrace (Depending on unit), privacy compared to apartments, and the perks of a gated villa-Community (Security, open space, greenery, amenities).",International City by Sobha Phase 1,International City by Sobha Phase 1,East Facing Euro international Nearby,House
46,Independent House,"4 Bedroom House in Sector 23, Gurgaon","4 Bedroom House in Sector 23, Gurgaon",₹3.4 Cr,"₹11,046 /sqft",4,5,4 BHK,3078,"3,078 sqft",,,West,RESALE,,,,,,Ansal Plaza,Ansal Plaza,,House
47,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹14.5 Cr,"₹40,278 /sqft",5,5,5 BHK,3600,"3,600 sqft",,,,RESALE,,,,,Sobha international city sector 109 Phase 1,International City by Sobha Phase 1,International City by Sobha Phase 1,,House
48,Independent House,"4 Bedroom House in Sector 109, Gurgaon","4 Bedroom House in Sector 109, Gurgaon",₹8.2 Cr,"₹1,36,666 /sqft",4,4,4 BHK,600,600 sqft,,,North-East,RESALE,,3.0,,Garden,"Check out this 4 bhk house for sale in sector 109 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. This residential property boasts proximity to key landmarks like close to metro station, close to school, close to hospital and close to railway station. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 3 balconies. All in all, the ...",International City by SOBHA Phase 2,International City by SOBHA Phase 2,North-East Facing Private Garden,House
49,Independent House,"6 Bedroom House in Sector 45, Gurgaon","6 Bedroom House in Sector 45, Gurgaon",₹10.05 Cr,"₹32,651 /sqft",6,6,6 BHK,3078,"3,078 sqft",,,North-East,RESALE,,,,Garden,Available duplex kothi for sale in sector-45 gurgaon haryana,"Sector 45, Gurgaon","Sector 45, Gurgaon",North-East Facing Private Garden,House
50,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹9.2 Cr,"₹37,860 /sqft",5,5,5 BHK,2430,"2,430 sqft",,,,RESALE,,,,"Swimming Pool, Gym, Park, Jogging Track, Play Area","Sobha international city | ready to move 270 sq.Yd | 5bhk + servant Sobha international city in sector 109, gurgaon Sobha international city phase 1, 208 units Spread over an area of 36 acres Luxury amenities Swimming pool, lawn tennis, basketball court, gymnasium, premium clubhouse, yoga & aerobics, kids play area, jogging track, landscaped parks large, banquet hall Prime connectivity 0 km fro...",International City by Sobha Phase 1,International City by Sobha Phase 1,,House
51,Independent House,"5 Bedroom House in Sector 109, Gurgaon","5 Bedroom House in Sector 109, Gurgaon",₹20.5 Cr,"₹45,556 /sqft",5,6,5 BHK,4500,"4,500 sqft",,,,RESALE,,,,"Swimming Pool, Gym, Park, Jogging Track, Play Area","Sobha international city | ready to move 500 sq.Yd | 5bhk + servant Sobha international city in sector 109, gurgaon Sobha international city phase 1, 208 units Spread over an area of 36 acres Luxury amenities Swimming pool, lawn tennis, basketball court, gymnasium, premium clubhouse, yoga & aerobics, kids play area, jogging track, landscaped parks large, banquet hall Prime connectivity 0 km fro...",International City by Sobha Phase 1,International City by Sobha Phase 1,,House
