property_id,listing_type,property_name,society,rating,reviews,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,link,property_type,plot_area,plot_area_sqft,total_floors,open_sides,covered_area
80840951,Independent House,"3 Bedroom House in Sector 57, Gurgaon","3 Bedroom House in Sector 57, Gurgaon",N/A,N/A,₹6.5 Cr,"₹45,138 /sqft",3,2,3 BHK,1440,"1,440 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,"Lift, Park",Park facing beautiful property with lift provision,"Sector 57, Gurgaon","Sector 57, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-57-gurgaon-1440-sq-ft-r1-spid-O80840951,House,N/A,N/A,,N/A,N/A
87014240,Independent House,"6 Bedroom House in Nathupur, Gurgaon","6 Bedroom House in Nathupur, Gurgaon",N/A,N/A,₹2 Cr,"₹37,037 /sqft",6,3,6 BHK,540,540 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"If youre looking for a reliable, income-Generating property in gurgaon, dont miss out. With a stable rental income potential and high demand, this is a smart investment whether you want immediate rental returns or long-Term appreciation. Discover this well-Located /house in one of gurgaons top residential zones, ideal for investors or home-Seekers looking for strong rental returns. Situated clo...","dlf phase 3, dhoranacharya metro station","dlf phase 3, dhoranacharya metro station",N/A,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-nathupur-gurgaon-1350-sq-ft-spid-H87014240,House,N/A,N/A,,N/A,N/A
73790513,Independent House,"4 Bedroom House in Pratap Nagar, Gurgaon","4 Bedroom House in Pratap Nagar, Gurgaon",1,N/A,₹1.5 Cr,"₹10,714 /sqft",4,2,4 BHK,1400,"1,400 sqft",N/A,N/A,N/A,RESALE,N/A,0.0,N/A,Park,"Looking for buyer to purchase our house/villa available for sale in vijay park , gurgaon . Available at price of rs 95 lacs. It has plot area of 1400 sqft. It has 4 bhk, 2 bathroom, 0 balcony.It is a freehold property",Vijay park sector 8,Vijay park sector 8,N/A,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-pratap-nagar-gurgaon-1400-sq-ft-r1-spid-I73790513,House,N/A,N/A,,N/A,N/A
86889796,Independent House,"10 Bedroom House in C block Sector 43, Gurgaon","10 Bedroom House in C block Sector 43, Gurgaon",N/A,N/A,₹4.25 Cr,"₹77,413 /sqft",10,10,10 BHK,549,549 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,N/A,"C block Sector 43, Gurgaon","C block Sector 43, Gurgaon",Hida within 1km Newly Constructed,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-c-block-sector-43-gurgaon-549-sq-ft-spid-Q86889796,House,N/A,N/A,,N/A,N/A
86891210,Independent House,"1 Bedroom House in Maruti Kunj, Gurgaon","1 Bedroom House in Maruti Kunj, Gurgaon",N/A,N/A,₹95 Lac,"₹13,194 /sqft",1,1,1 BHK,720,720 sqft,Built-up,N/A,N/A,RESALE,N/A,,N/A,N/A,"This 1 bhk house for sale in maruti kunj, a well planned locality in gurgaon, is ideal for a family that is looking for complete peace of mind. Constructed on a built up area of 80 sq.Yards, this house comprises 1 bedroom, 1 bathroom . This 0-1 year old property is available for immediate possession as the house is ready to move. It is a freehold property. The price of this spacious independent...","Maruti Kunj, Gurgaon","Maruti Kunj, Gurgaon",N/A,https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-maruti-kunj-gurgaon-720-sq-ft-spid-L86891210,House,N/A,N/A,,N/A,N/A
86875110,Independent House,"7 Bedroom House in Laxman Vihar, Gurgaon","7 Bedroom House in Laxman Vihar, Gurgaon",N/A,N/A,₹3 Cr,"₹25,000 /sqft",7,4,7 BHK,1200,"1,200 sqft",N/A,N/A,N/A,RESALE,Semi-Furnished,,N/A,"Parking, Park","Located in laxman vihar, gurgaon, this 10+ year old independent 7 bhk villa spans 1200 sq.Ft. Offering 4 bathrooms and semi-Furnished interiors, it includes parking and air-Conditioned comfort. Available immediately, its close to key amenities like chintapurni mandir, hospitals, and atms, blending convenience with spacious living.",H.No 538 Laxman Vihar,H.No 538 Laxman Vihar,N/A,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-laxman-vihar-gurgaon-1200-sq-ft-spid-B86875110,House,N/A,N/A,,N/A,N/A
80575689,Independent House,"12 Bedroom House in Subhash Nagar, Gurgaon","12 Bedroom House in Subhash Nagar, Gurgaon",1,N/A,₹2.8 Cr,"₹16,258 /sqft",12,9,12 BHK,1722,"1,722 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"Subhash nagar is one of gurgaon's most sought after destination for residential houses and this 12 bhk house in subhash nagar is your opportunity to be a part of this community. This residential property boasts proximity to key landmarks like close to school, close to hospital, close to railway station and close to market. The house has over super built up area of 160 sq.M. And comes with 12 be...","Subhash Nagar, Gurgaon","Subhash Nagar, Gurgaon",N/A,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-subhash-nagar-gurgaon-1722-sq-ft-r1-spid-F80575689,House,N/A,N/A,,N/A,N/A
86800942,Independent House,"11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon","11 Bedroom House in Block C, Sushant Lok Phase 1, Gurgaon",N/A,N/A,₹4.1 Cr,"₹74,681 /sqft",11,11,11 BHK,549,549 sqft,N/A,N/A,N/A,RESALE,Fully Furnished,,N/A,N/A,"Get rent of rs 2,20,000 per month. This property stands out because it offers an unbeatable combination of location, design, and guaranteed rental income. The 61sq. Yd. Two side open plot ensures openness on two sides, excellent natural light, and superior ventilation across all five floors. The building comes fully furnished beds, almirahs, acs, fridge, microwave, tv, sofa, geysers, exhausts m...","Block C, Sushant Lok Phase 1, Gurgaon","Block C, Sushant Lok Phase 1, Gurgaon",N/A,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-549-sq-ft-spid-X86800942,House,61sq. Yd,549,,N/A,N/A
86563372,Independent House,"3 Bedroom House in Sector-33 Sohna, Gurgaon","3 Bedroom House in Sector-33 Sohna, Gurgaon",N/A,N/A,₹1.6 Cr,"₹9,211 /sqft",3,2,3 BHK,1737,"1,737 sqft",N/A,N/A,East,RESALE,N/A,,N/A,"Garden, Gated Community, Park","Live in the quintessential global township Central park offers a world of facilities and amenities that differentiate the township and the lifestyle it offers by a great expanse. This global township is created to become the perfect habitat for holistic wellness. Nestled adjacent to the majestic aravallis, this gated community offers a destination living with the concept of spring season all ye...",Central Park Flower Valley Flamingo Floors,Central Park Flower Valley Flamingo Floors,East Facing Private Garden,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-flamingo-floors-sector-33-sohna-gurgaon-1737-sq-ft-spid-D86563372,House,N/A,N/A,,N/A,N/A
86836694,Independent House,"3 Bedroom House in Pratap Nagar, Gurgaon","3 Bedroom House in Pratap Nagar, Gurgaon",N/A,N/A,₹2.6 Cr,"₹20,062 /sqft",3,3,3 BHK,1296,"1,296 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"This west-Facing property stands out for its excellent location with every essential facility nearby, offering a comfortable place to reside along with steady rental income and there is two attached shops also, and ensuring complete convenience with absolutely no water problems.","Pratap Nagar, Gurgaon","Pratap Nagar, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pratap-nagar-gurgaon-1296-sq-ft-spid-U86836694,House,N/A,N/A,,N/A,N/A
86818904,Independent House,"3 Bedroom House in DLF Phase 2, Gurgaon","3 Bedroom House in DLF Phase 2, Gurgaon",N/A,N/A,₹3.6 Cr,"₹18,605 /sqft",3,3,3 BHK,1935,"1,935 sqft",Carpet,N/A,North,RESALE,N/A,,N/A,Garden,For sale top floor terrace in dlf phase 2 m block its a north facing property 3 bhk 3 toilets unused floor . The property is in 215yds plot size carpet area is 1500sq.Ft.,Top Floor Terrace,Top Floor Terrace,North Facing Private Garden,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-2-gurgaon-1935-sq-ft-spid-N86818904,House,N/A,N/A,,N/A,N/A
86796480,Independent House,"6 Bedroom House in DLF Phase 3, Gurgaon","6 Bedroom House in DLF Phase 3, Gurgaon",N/A,N/A,₹14.5 Cr,"₹50,984 /sqft",6,5,6 BHK,2844,"2,844 sqft",Covered,N/A,N/A,RESALE,N/A,3.0,N/A,"Parking, Park","Check out this 6 bhk house for sale in dlf phase 3, a popular residential locality that contains many of the in-Demand properties in gurgaon. Constructed on a super built up area of 316 sq.Yards, this house comprises 6 bedrooms, 5 bathrooms and more than 3 balconies. Your vehicle(s) can be easily parked as this house comes with 5 covered parking. Being a ready to move house, you can expect imme...",DLF City Plots Phase 3,DLF City Plots Phase 3,N/A,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-plots-phase-3-dlf-phase-3-gurgaon-2844-sq-ft-spid-Y86796480,House,N/A,N/A,,N/A,N/A
86799232,Independent House,"4 Bedroom House in Sector 43, Gurgaon","4 Bedroom House in Sector 43, Gurgaon",N/A,N/A,₹4.94 Cr,"₹17,642 /sqft",4,4,4 BHK,2800,"2,800 sqft",Built-up,N/A,North,RESALE,N/A,3.0,N/A,Garden,"Check out this 4 bhk house for sale in sector 43 gurgaon, a popular residential locality that contains many of the in-Demand properties in gurgaon. The property's proximity to landmarks like close to metro station and close to hospital makes it ideal property for families. Containing 4 bedrooms, 4 bathrooms and 3 balconies, this independent house is spread over a built up area of 2800 sq.Ft. Th...",Surya CGHS,Surya CGHS,North Facing Private Garden,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-surya-cghs-sector-43-gurgaon-2800-sq-ft-spid-Z86799232,House,N/A,N/A,,N/A,N/A
